date,sessions,weekday,nthweek,month,index,GRP,GRPRef,energy.consumption,festival,sales
2013-10-28,14440,1,43,10,1,0,0,2390456,0,0
2013-10-29,13849,2,43,10,2,0,0,2544138,0,0
2013-10-30,14714,3,43,10,3,0,0,2647830,0,0
2013-10-31,14752,4,43,10,4,0,0,2694073,0,0
2013-11-01,13237,5,43,11,5,0,0,2384898,1,0
2013-11-02,12694,6,43,11,6,0,0,2284499,0,0
2013-11-03,12316,0,43,11,7,0,0,2252290,0,0
2013-11-04,14119,1,44,11,8,0,0,2721601,0,0
2013-11-05,13365,2,44,11,9,0,0,2889845,0,0
2013-11-06,12704,3,44,11,10,0,0,2747318,0,0
2013-11-07,12241,4,44,11,11,0,0,2663023,0,0
2013-11-08,12201,5,44,11,12,0,0,2674501,0,0
2013-11-09,10495,6,44,11,13,0,0,2500189,0,0
2013-11-10,10512,0,44,11,14,0,0,2397059,0,0
2013-11-11,10638,1,45,11,15,0,0,2573459,1,0
2013-11-12,10926,2,45,11,16,0,0,2937894,0,0
2013-11-13,11633,3,45,11,17,0,0,2979590,0,0
2013-11-14,12133,4,45,11,18,0,0,3111421,0,0
2013-11-15,13624,5,45,11,19,0,0,3174091,0,0
2013-11-16,13620,6,45,11,20,0,0,2941555,0,0
2013-11-17,13231,0,45,11,21,0,0,2801021,0,0
2013-11-18,13747,1,46,11,22,0,0,3200350,0,0
2013-11-19,13695,2,46,11,23,0,0,3292551,0,0
2013-11-20,13083,3,46,11,24,0,0,3473785,0,0
2013-11-21,12442,4,46,11,25,0,0,3475550,0,0
2013-11-22,12019,5,46,11,26,0,0,3549241,0,0
2013-11-23,12334,6,46,11,27,0,0,3218028,0,0
2013-11-24,13391,0,46,11,28,0,0,3001431,0,0
2013-11-25,12928,1,47,11,29,0,0,3341657,0,0
2013-11-26,12774,2,47,11,30,0,0,3440110,0,0
2013-11-27,12063,3,47,11,31,0,0,3510792,0,0
2013-11-28,11074,4,47,11,32,0,0,3655542,0,0
2013-11-29,10347,5,47,11,33,0,0,3535376,0,0
2013-11-30,10387,6,47,11,34,0,0,3164331,0,0
2013-12-01,10654,0,47,12,35,0,0,3057161,0,0
2013-12-02,11638,1,48,12,36,0,0,3444543,0,0
2013-12-03,11491,2,48,12,37,0,0,3571676,0,0
2013-12-04,11972,3,48,12,38,0,0,3629391,0,0
2013-12-05,11694,4,48,12,39,0,0,3550962,0,0
2013-12-06,14180,5,48,12,40,0,0,3453041,0,0
2013-12-07,12274,6,48,12,41,0,0,3177086,0,0
2013-12-08,12041,0,48,12,42,0,0,3079121,0,0
2013-12-09,14424,1,49,12,43,0,0,3581824,0,0
2013-12-10,14028,2,49,12,44,0,0,3648263,0,0
2013-12-11,14756,3,49,12,45,0,0,3628666,0,0
2013-12-12,14039,4,49,12,46,0,0,3644030,0,0
2013-12-13,12776,5,49,12,47,0,0,3586852,0,0
2013-12-14,12388,6,49,12,48,0,0,3217594,0,0
2013-12-15,12814,0,49,12,49,0,0,3055694,0,0
2013-12-16,11775,1,50,12,50,0,0,3354081,0,0
2013-12-17,10232,2,50,12,51,0,0,3354085,0,0
2013-12-18,9342,3,50,12,52,0,0,3271787,0,0
2013-12-19,8204,4,50,12,53,0,0,3246647,0,0
2013-12-20,7140,5,50,12,54,0,0,3269559,0,0
2013-12-21,6042,6,50,12,55,0,0,3071904,0,0
2013-12-22,6166,0,50,12,56,0,0,2822277,0,0
2013-12-23,5412,1,51,12,57,0,0,2957086,0,0
2013-12-24,3574,2,51,12,58,0,0,2822210,0,0
2013-12-25,3561,3,51,12,59,0,0,2516617,1,0
2013-12-26,5917,4,51,12,60,0,0,2897048,2,0
2013-12-27,6327,5,51,12,61,0,0,2940632,0,0
2013-12-28,5495,6,51,12,62,0,0,2798558,0,0
2013-12-29,5705,0,51,12,63,0,0,2803631,0,0
2013-12-30,6043,1,52,12,64,0,0,3122462,0,0
2013-12-31,4243,2,52,12,65,0,0,3047811,0,0
2014-01-01,4368,3,0,1,66,0,0,2730119,1,0
2014-01-02,7026,4,0,1,67,0,0,2913471,0,0
2014-01-03,8352,5,0,1,68,0,0,2958103,0,0
2014-01-04,8162,6,0,1,69,0,0,2812270,0,0
2014-01-05,8427,0,0,1,70,0,0,2796091,0,0
2014-01-06,8021,1,1,1,71,0,0,3093124,0,0
2014-01-07,9018,2,1,1,72,0,0,3068740,0,0
2014-01-08,22393,3,1,1,73,0,0,3030215,0,10
2014-01-09,17979,4,1,1,74,0,0,3085353,0,5
2014-01-10,16006,5,1,1,75,0,0,3156461,0,2
2014-01-11,12314,6,1,1,76,0,0,2876768,0,1
2014-01-12,13751,0,1,1,77,0,0,2831370,0,1
2014-01-13,13300,1,2,1,78,0,0,3193282,0,1
2014-01-14,11505,2,2,1,79,0,0,3330054,0,1
2014-01-15,12262,3,2,1,80,0,0,3411072,0,1
2014-01-16,13704,4,2,1,81,0,0,3309652,0,1
2014-01-17,10183,5,2,1,82,0,0,3236617,0,1
2014-01-18,11006,6,2,1,83,0,0,2969399,0,1
2014-01-19,52371,0,2,1,84,38.38,25.9,2832498,0,1
2014-01-20,66097,1,3,1,85,44.86,23.73,3331056,0,1
2014-01-21,59523,2,3,1,86,37.48,25.2,3474544,0,1
2014-01-22,78835,3,3,1,87,45,29.08,3506458,0,1
2014-01-23,81759,4,3,1,88,50.79,29.95,3460734,0,1
2014-01-24,81078,5,3,1,89,60.7,34.73,3402068,0,1
2014-01-25,55334,6,3,1,90,37.95,21.58,3087490,0,1
2014-01-26,65564,0,3,1,91,29.15,19.91,2903666,0,1
2014-01-27,64677,1,4,1,92,41.48,27.38,3367997,0,1
2014-01-28,75104,2,4,1,93,55.64,35.16,3515409,0,1
2014-01-29,85787,3,4,1,94,58.13,41.03,3525808,0,1
2014-01-30,71739,4,4,1,95,47.65,28.6,3470755,0,1
2014-01-31,67255,5,4,1,96,58.55,33.08,3495252,0,1
2014-02-01,60202,6,4,2,97,36.41,25.59,3149921,0,1
2014-02-02,63387,0,4,2,98,29.57,24.74,3014247,0,1
2014-02-03,66486,1,5,2,99,55.62,32.84,3373743,0,1
2014-02-04,61579,2,5,2,100,48.63,29.24,3377104,0,1
2014-02-05,63299,3,5,2,101,59.67,38.63,3435156,0,1
2014-02-06,61646,4,5,2,102,54.82,29.77,3381204,0,1
2014-02-07,59142,5,5,2,103,55.94,31.3,3223787,0,1
2014-02-08,51950,6,5,2,104,53.5,29.38,3038885,0,1
2014-02-09,54589,0,5,2,105,19.94,12.77,2942425,0,2
2014-02-10,59880,1,6,2,106,64.14,37.02,3262496,0,4
2014-02-11,52109,2,6,2,107,59.02,31.02,3392507,0,6
2014-02-12,55719,3,6,2,108,62.49,35.67,3399794,0,0
2014-02-13,54262,4,6,2,109,68.25,38.42,3377826,0,0
2014-02-14,41855,5,6,2,110,69.49,33.9,3317704,0,0
2014-02-15,42360,6,6,2,111,44.85,24.82,2885775,0,0
2014-02-16,42849,0,6,2,112,27.01,17.03,2780077,0,0
2014-02-17,36037,1,7,2,113,47.56,26.85,3128775,0,0
2014-02-18,39374,2,7,2,114,52.66,31.72,3240676,0,0
2014-02-19,40419,3,7,2,115,61.91,39.39,3182583,0,0
2014-02-20,40855,4,7,2,116,55.8,33.56,3124193,0,0
2014-02-21,33888,5,7,2,117,43.56,25.5,3134943,0,0
2014-02-22,29363,6,7,2,118,33.77,21.92,2911130,0,0
2014-02-23,35638,0,7,2,119,38.11,24.83,2672281,0,0
2014-02-24,23455,1,8,2,120,0,0,2987701,0,0
2014-02-25,19935,2,8,2,121,0,0,3105512,0,0
2014-02-26,17970,3,8,2,122,0,0,3146253,0,0
2014-02-27,25760,4,8,2,123,0,0,3282499,0,0
2014-02-28,21630,5,8,2,124,0,0,3285462,0,0
2014-03-01,15224,6,8,3,125,0,0,2996953,0,0
2014-03-02,15839,0,8,3,126,0,0,2844518,0,0
2014-03-03,16172,1,9,3,127,0,0,3211981,0,0
2014-03-04,15621,2,9,3,128,0,0,3226033,0,0
2014-03-05,13833,3,9,3,129,0,0,3113863,0,0
2014-03-06,12631,4,9,3,130,0,0,3091299,0,0
2014-03-07,12931,5,9,3,131,0,0,3011186,0,0
2014-03-08,11979,6,9,3,132,0,0,2613706,0,0
2014-03-09,18558,0,9,3,133,14.81,9.36,2375450,0,0
2014-03-10,21771,1,10,3,134,31.19,16.83,2729071,0,0
2014-03-11,25353,2,10,3,135,24.48,11.21,2803989,0,0
2014-03-12,25650,3,10,3,136,29.94,17.2,2802272,0,0
2014-03-13,27237,4,10,3,137,40.5,25.35,2790564,0,0
2014-03-14,26961,5,10,3,138,21.1,12.49,2731547,0,0
2014-03-15,24774,6,10,3,139,14.12,10.29,2499596,0,0
2014-03-16,22125,0,10,3,140,7.21,4.05,2313892,0,0
2014-03-17,24040,1,11,3,141,24.64,13.25,2665945,0,0
2014-03-18,22254,2,11,3,142,19.21,10.8,2778484,0,0
2014-03-19,22011,3,11,3,143,19.29,10.64,2729221,0,0
2014-03-20,21344,4,11,3,144,20.64,11.69,2681848,0,0
2014-03-21,22927,5,11,3,145,27.16,14.12,2651793,0,0
2014-03-22,24005,6,11,3,146,15.88,10.64,2533951,0,0
2014-03-23,25697,0,11,3,147,22.38,15.18,2549887,0,0
2014-03-24,20576,1,12,3,148,7.3,2.9,2932239,0,0
2014-03-25,26005,2,12,3,149,29.45,15.08,3002281,0,0
2014-03-26,28167,3,12,3,150,34.35,16.78,2988817,0,0
2014-03-27,24983,4,12,3,151,31.94,17.5,2995637,0,0
2014-03-28,26345,5,12,3,152,39.36,20.6,2895536,0,0
2014-03-29,21620,6,12,3,153,14.99,9.62,2476116,0,0
2014-03-30,22505,0,12,3,154,10.01,7.75,2265825,0,0
2014-03-31,23081,1,13,3,155,19.44,11.71,2561486,0,0
2014-04-01,23901,2,13,4,156,21.55,12.42,2562794,0,0
2014-04-02,25878,3,13,4,157,29.19,13.51,2537778,0,0
2014-04-03,27732,4,13,4,158,31.93,16.72,2583883,0,0
2014-04-04,24173,5,13,4,159,25.12,12.62,2583155,0,0
2014-04-05,21268,6,13,4,160,10.88,8.17,2295696,0,0
2014-04-06,27218,0,13,4,161,22.31,15.91,2096482,0,0
2014-04-07,23878,1,14,4,162,15.67,10.54,2415933,0,0
2014-04-08,23147,2,14,4,163,17.55,9.64,2518168,0,0
2014-04-09,22113,3,14,4,164,21.99,13.87,2567783,0,0
2014-04-10,21935,4,14,4,165,16.76,9.61,2527473,0,0
2014-04-11,21585,5,14,4,166,22.59,11.43,2465092,0,0
2014-04-12,19710,6,14,4,167,21.4,12.85,2195296,0,0
2014-04-13,22197,0,14,4,168,13.24,9.04,2066271,0,0
2014-04-14,20655,1,15,4,169,22.77,12.42,2440197,0,0
2014-04-15,20823,2,15,4,170,21.94,13.58,2526945,0,0
2014-04-16,21448,3,15,4,171,27.1,15.5,2555104,0,0
2014-04-17,21660,4,15,4,172,47.8,21.52,2529046,0,0
2014-04-18,22546,5,15,4,173,31.03,19.98,2479076,2,0
2014-04-19,15666,6,15,4,174,5.15,4.52,2302212,0,0
2014-04-20,17439,0,15,4,175,12.42,7.37,2161484,0,0
2014-04-21,27832,1,16,4,176,20.51,19.25,2164789,1,0
2014-04-22,27792,2,16,4,177,23.57,16.2,2487687,0,0
2014-04-23,27469,3,16,4,178,34.23,21.34,2494011,0,0
2014-04-24,27495,4,16,4,179,35.22,22.35,2467349,0,0
2014-04-25,26884,5,16,4,180,28.57,21.09,2455345,0,0
2014-04-26,24117,6,16,4,181,19.46,14.63,2230654,0,0
2014-04-27,27508,0,16,4,182,18.88,14.91,2145026,0,0
2014-04-28,26266,1,17,4,183,18.52,13.8,2495743,0,0
2014-04-29,24678,2,17,4,184,20.2,15.82,2543174,0,0
2014-04-30,23920,3,17,4,185,30.29,17.99,2488884,0,0
2014-05-01,34832,4,17,5,186,29.47,19.87,0,1,0
2014-05-02,25204,5,17,5,187,22.45,14.85,0,0,0
2014-05-03,23166,6,17,5,188,18.45,13.73,0,0,0
2014-05-04,22297,0,17,5,189,13.01,11.04,0,0,0
2014-05-05,21541,1,18,5,190,19.54,12.15,0,0,0
2014-05-06,27765,2,18,5,191,44.86,24.4,0,0,0
2014-05-07,27027,3,18,5,192,33.69,20.74,0,0,0
2014-05-08,32270,4,18,5,193,24.01,16.92,0,1,0
2014-05-09,29074,5,18,5,194,30.02,24.22,0,0,0
2014-05-10,27530,6,18,5,195,39.17,26.78,0,0,0
2014-05-11,29821,0,18,5,196,27.96,18.75,0,0,0
2014-05-12,21253,1,19,5,197,21.5,13.42,0,0,0
2014-05-13,21110,2,19,5,198,22.7,14.99,0,0,0
2014-05-14,22193,3,19,5,199,37.84,19.59,0,0,0
2014-05-15,20311,4,19,5,200,19.27,12,0,0,0
2014-05-16,17380,5,19,5,201,30.75,15.98,0,0,0
2014-05-17,14619,6,19,5,202,10.06,8.9,0,0,0
2014-05-18,17417,0,19,5,203,11.43,8.07,0,0,0
